Wall time,Step,Value
1528057306.612965,202148,-2.8719775676727295
1528057360.780779,204232,-2.8792552947998047
1528057414.077288,206316,-2.8832898139953613
1528057558.533798,208400,-2.8848674297332764
1528057612.317142,210484,-2.8909659385681152
1528057665.631152,212568,-2.8951826095581055
1528057720.524352,214652,-2.903963804244995
1528057774.246065,216736,-2.9070372581481934
1528057828.045331,218820,-2.925752878189087
1528057881.832183,220904,-2.935718536376953
1528057934.743762,222988,-2.936673164367676
1528057988.051975,225072,-2.939504384994507
1528058042.121285,227156,-2.9581375122070312
1528058095.5319,229240,-2.96594500541687
1528058149.278037,231324,-2.975275993347168
1528058201.821575,233408,-2.981827735900879
1528058253.704533,235492,-2.9853804111480713
1528058306.292791,237576,-2.985010862350464
1528058359.118741,239660,-3.0025501251220703
1528058411.531096,241744,-2.99577260017395
1528058463.476476,243828,-2.999974250793457
1528058515.345634,245912,-3.019022226333618
1528058567.316295,247996,-3.0254364013671875
1528058710.078238,250080,-3.0155935287475586
1528058764.459684,252164,-3.0268988609313965
1528058817.287253,254248,-3.0294954776763916
1528058869.926653,256332,-3.041560649871826
1528058922.478649,258416,-3.046722650527954
1528058974.741553,260500,-3.05851411819458
1528059027.383395,262584,-3.064054250717163
1528059079.82597,264668,-3.071573257446289
1528059132.085972,266752,-3.080143690109253
1528059183.915672,268836,-3.0822126865386963
1528059235.76393,270920,-3.0746641159057617
1528059288.420258,273004,-3.0945870876312256
1528059340.765602,275088,-3.0982985496520996
1528059392.537783,277172,-3.1083292961120605
1528059445.028834,279256,-3.1063592433929443
1528059496.871077,281340,-3.127929925918579
1528059549.649219,283424,-3.1213932037353516
1528059601.797857,285508,-3.1178722381591797
1528059653.376205,287592,-3.131692409515381
1528059705.264589,289676,-3.135631799697876
1528059845.600019,291760,-3.1409173011779785
1528059897.974582,293844,-3.153078317642212
1528059950.362534,295928,-3.1568779945373535
1528060002.561993,298012,-3.1694624423980713
1528060054.354646,300096,-3.1830739974975586
1528060107.71907,302180,-3.1817786693573
1528060160.738844,304264,-3.1936299800872803
1528060212.527677,306348,-3.1768686771392822
1528060264.490163,308432,-3.2066962718963623
1528060316.563225,310516,-3.21150541305542
1528060369.048785,312600,-3.206974744796753
1528060421.474291,314684,-3.2241995334625244
1528060473.476182,316768,-3.234264850616455
1528060526.309984,318852,-3.219507932662964
1528060578.839027,320936,-3.2318122386932373
1528060631.3565,323020,-3.244183301925659
1528060683.769599,325104,-3.25358247756958
1528060735.747043,327188,-3.254002332687378
1528060788.7008,329272,-3.2569642066955566
1528060840.394982,331356,-3.251488208770752
1528060980.214434,333440,-3.249394416809082
1528061032.200833,335524,-3.2665772438049316
1528061084.396383,337608,-3.2918474674224854
1528061135.947627,339692,-3.2861642837524414
1528061188.258632,341776,-3.2952022552490234
1528061240.533404,343860,-3.303570508956909
1528061292.397961,345944,-3.311836004257202
1528061344.97918,348028,-3.3201985359191895
1528061396.472233,350112,-3.3206393718719482
1528061448.63272,352196,-3.332805633544922
1528061503.19486,354280,-3.3288044929504395
1528061556.38421,356364,-3.321171283721924
1528061610.235811,358448,-3.347142457962036
1528061664.285232,360532,-3.336357355117798
1528061717.225383,362616,-3.3475170135498047
1528061771.148483,364700,-3.3525917530059814
1528061824.048416,366784,-3.355443000793457
1528061877.114927,368868,-3.3534939289093018
1528061930.844782,370952,-3.3683619499206543
1528061984.373238,373036,-3.376044750213623
1528062126.630852,375120,-3.368675947189331
1528062178.360392,377204,-3.386258840560913
1528062230.421329,379288,-3.3752899169921875
1528062282.359967,381372,-3.3820688724517822
1528062335.407787,383456,-3.3908684253692627
1528062387.738276,385540,-3.3915939331054688
1528062440.014847,387624,-3.412862777709961
1528062492.499845,389708,-3.4166290760040283
