Wall time,Step,Value
1528072529.791323,758576,-104.94841766357422
1528072581.576656,760660,-104.85189056396484
1528072633.094918,762744,-104.88338470458984
1528072684.774853,764828,-104.90055847167969
1528072736.97082,766912,-104.88201904296875
1528072789.665653,768996,-104.83106231689453
1528072841.026324,771080,-104.81183624267578
1528072893.340842,773164,-104.86550903320312
1528072945.132907,775248,-104.7795639038086
1528072996.644982,777332,-104.82877349853516
1528073048.644629,779416,-104.89666748046875
1528073100.850569,781500,-104.80864715576172
1528073154.902065,783584,-104.8153076171875
1528073207.073469,785668,-104.69351196289062
1528073259.536166,787752,-104.66471099853516
1528073311.8267,789836,-104.69058227539062
1528073458.294756,791920,-104.69194030761719
1528073510.143819,794004,-104.68330383300781
1528073561.645558,796088,-104.677490234375
1528073613.722806,798172,-104.66741180419922
1528073665.656157,800256,-104.5890884399414
1528073721.13062,802340,-104.62986755371094
1528073781.128319,804424,-104.54661560058594
1528073841.429734,806508,-104.5958480834961
1528073896.33173,808592,-104.56270599365234
1528073952.067129,810676,-104.60503387451172
1528074006.829364,812760,-104.53694152832031
1528074061.880575,814844,-104.53419494628906
1528074116.847368,816928,-104.49673461914062
1528074172.145427,819012,-104.45805358886719
1528074227.40126,821096,-104.45390319824219
1528074283.107326,823180,-104.45274353027344
1528074338.855879,825264,-104.51367950439453
1528074394.163599,827348,-104.45060729980469
1528074447.161677,829432,-104.443603515625
1528074501.103008,831516,-104.3899917602539
1528074640.813893,833600,-104.36711883544922
1528074693.293714,835684,-104.36709594726562
1528074745.172143,837768,-104.34307861328125
1528074797.098128,839852,-104.33030700683594
1528074849.456889,841936,-104.2581558227539
1528074901.263869,844020,-104.22740173339844
1528074953.009662,846104,-104.27106475830078
1528075004.891294,848188,-104.24642181396484
1528075057.29724,850272,-104.22412109375
1528075109.647659,852356,-104.16789245605469
1528075161.500252,854440,-104.18109130859375
1528075213.342259,856524,-104.13311767578125
1528075264.833169,858608,-104.17198181152344
1528075316.426636,860692,-104.1373062133789
1528075368.378744,862776,-104.17683410644531
1528075420.48116,864860,-104.13095092773438
1528075473.406272,866944,-104.13156127929688
1528075525.075739,869028,-104.05447387695312
1528075577.208855,871112,-104.14373016357422
1528075629.081551,873196,-104.0912094116211
1528075770.021248,875280,-104.01981353759766
1528075821.572948,877364,-104.03105926513672
1528075873.344597,879448,-104.0857162475586
1528075925.11074,881532,-103.9747314453125
1528075976.998791,883616,-104.05123901367188
1528076029.158855,885700,-103.98746490478516
1528076081.365139,887784,-103.97731018066406
1528076133.701922,889868,-103.9558334350586
1528076185.370813,891952,-103.97062683105469
1528076237.465706,894036,-103.9775390625
1528076289.703623,896120,-103.94728088378906
1528076341.734721,898204,-103.94697570800781
1528076394.8306,900288,-103.8851318359375
1528076448.294492,902372,-103.90257263183594
1528076501.853434,904456,-103.86520385742188
1528076554.624535,906540,-103.92323303222656
1528076606.378184,908624,-103.84935760498047
1528076658.547088,910708,-103.90778350830078
1528076711.52168,912792,-103.82405853271484
1528076764.911945,914876,-103.85857391357422
1528076904.326371,916960,-103.81393432617188
1528076957.302862,919044,-103.78355407714844
1528077009.945574,921128,-103.77116394042969
1528077061.913696,923212,-103.73186492919922
1528077113.597126,925296,-103.72557067871094
1528077165.405089,927380,-103.73490142822266
1528077217.705179,929464,-103.76287841796875
1528077270.712092,931548,-103.73222351074219
1528077322.927533,933632,-103.7345199584961
1528077374.57684,935716,-103.7366943359375
1528077427.182984,937800,-103.67123413085938
